CONTRACT_ID,SUPPORT_ITEMNO,Row_identifier,Count_School,sum_Price_Unit,ACCOUNT_NUMBER_CONCAT,START_DATE,END_DATE,CURRENCY_CODE,CONTRACT_NUMBER,SOLDTO_NUM,BILLTO_NUM,SHIPTO_NUM,max_CONTRACT_MONTHS,CONTRACT_ORG,AUTORENEW,RENEWAL_OPP_TYPE,UPLIFT_PCT,Student_count,PRODFAMILY,sold_to_num_acct_id,sold_to_num_acct_name,BILLTO_NUM_acct_id,BILLTO_NUM_acct_name,SHIPTO_NUM_acct_id,SHIPTO_NUM_acct_name,ACCOUNT_NUMBER_acct_id,ACCOUNT_NUMBER_acct_name,sf_cross_Pdct_id,sf_cross_Pdct_name,Deal_type,Multiple_Group,PER_STUDENT_PRICE,NEW_YRLY_PRICE,NEW_MTHLY_PRICE,SELLING_PRICE
11245001,95201P,1,1,12707.96973,2082555,7/1/2023,6/30/2024,USD,W1052125,2082555,2082555,2082555,12,X2,N,ASPEN,0.00000,3201,"STUDENT INFORMATION",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",01tDG000005vvNXYAY,"ASPEN STUDENT INFORMATION - SAAS",Single-Hosted,NULL,0.33083,12707.96973,1058.99756,1058.99756
11245001,95203P,2,1,0.00000,2082555,7/1/2023,6/30/2024,USD,W1052125,2082555,2082555,2082555,12,X2,N,ASPEN,0.00000,3201,"SPECIAL EDUCATION",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",01tDG000005vvQuYAI,"ASPEN SPECIAL EDUCATION - SAAS",Single-Hosted,NULL,0.00000,0.00000,0.00000,0.00000
11245001,95216P,3,7,0.00000,"2000902,2000903,2000904,2000905,2000906,2000907,2003109",7/1/2023,6/30/2024,USD,W1052125,2082555,2082555,2082555,12,X2,N,ASPEN,0.00000,,IMS,0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST","0015000001GRz0HAAT,0015000001GRz0MAAT,0015000001GRz0PAAT,0015000001GRz0SAAT,0015000001GRz0VAAT,0015000001GRz0YAAT,0015000001GRz0bAAD","HEATH BROOK SCH,LOELLA F DEWING ELEM SCH,NORTH STREET ELEM SCH,LOUISE DAVY TRAHAN ELEM SCH,JOHN W WYNN MDL SCH,TEWKSBURY MEM HIGH SCH,JOHN F RYAN ELEM SCH",01tDG000005vvRUYAY,"ASPEN IMS - SAAS - DISTRICT","District Member",NULL,NULL,0.00000,0.00000,0.00000
11245001,95550P,4,1,8002.50000,2082555,7/1/2023,6/30/2024,USD,W1052125,2082555,2082555,2082555,12,X2,N,ASPEN,0.00000,3201,HOSTED,0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",01tDG000005vvPIYAY,"FOLLETT HOSTING",Single-Hosted,NULL,0.20833,8002.50000,666.87500,666.87500
11245001,95622P,5,1,2500.00000,2082555,7/1/2023,6/30/2024,USD,W1052125,2082555,2082555,2082555,12,X2,N,ASPEN,0.00000,,ASPEN,0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",01tDG000005vvNnYAI,"ASPEN HOSTED TRAINING ENVIRONMENT",Single-Hosted,NULL,NULL,2500.00000,208.33333,208.33333
11245001,95722P,6,1,1500.00000,2082555,7/1/2023,6/30/2024,USD,W1052125,2082555,2082555,2082555,12,X2,N,ASPEN,0.00000,,ASPEN,0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",0015000001GRZskAAH,"TEWKSBURY PUB SCH DIST",01tDG000005vvSAYAY,"ASPEN ONLINE WEBINAR SUSCRIPTION PER CONNECTION",Single-Hosted,NULL,NULL,1500.00000,125.00000,125.00000
11245057,67008P,1,1,0.00000,3830447,7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,,"DESTINY DISTRICT",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvQDYAY,"WEBPATH EXPRESS DISTRICT LICENSE","District Product",NULL,NULL,0.00000,0.00000,0.00000
11245057,95201P,2,1,90696.64844,3830447,7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,8005,"STUDENT INFORMATION",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvNXYAY,"ASPEN STUDENT INFORMATION - SAAS",Single-Hosted,NULL,0.94417,90696.64844,7558.05420,7558.05420
11245057,95203P,3,1,0.00000,3830447,7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,8005,"SPECIAL EDUCATION",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvQuYAI,"ASPEN SPECIAL EDUCATION - SAAS",Single-Hosted,NULL,0.00000,0.00000,0.00000,0.00000
11245057,95209P,4,1,30352.28906,3830447,6/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,13,X2,N,ASPEN,0.00000,8005,OLRR,0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvSBYAY,"ASPEN ONLINE REGISTRATION (OLRR)-SAAS-DISTRICT",Single-Hosted,NULL,0.29167,28017.50000,2334.79150,2334.79150
11245057,95216P,5,23,0.00000,"3800011,3800039,3800041,3800043,3800044,3800045,3800046,3800047,3800048,3800049,3800050,3829640,3829650,3829727,3829730,3829990,3830061,3830064,3830450,3830455,3830465,3861348,3861349",7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,,IMS,0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS","0015000001GS75ZAAT,0015000001GS75bAAD,0015000001GS75lAAD,0015000001GS75uAAD,0015000001GS75xAAD,0015000001GS761AAD,0015000001GS765AAD,0015000001GS768AAD,0015000001GS76HAAT,0015000001GS76MAAT,0015000001GS76RAAT,0015000001GS76dAAD,0015000001GS76hAAD,0015000001GS76mAAD,0015000001GS76rAAD,0015000001GS76uAAD,0015000001GS76zAAD,0015000001GS771AAD,0015000001GS77CAAT,0015000001GS77HAAT,0015000001GS77MAAT,0015000001GS77QAAT,0015000001GS77VAAT","WARWICK AREA CAREER TECH CTR,CEDAR HILL SCH,FRANCIS ELEM SCH,E G ROBERTSON ELEM SCH,NORWOOD SCH,OAKLAND BCH SCH,PILGRIM HIGH SCH,TOLL GATE HIGH SCH,SHERMAN SCH,WARWICK NECK SCH,WARWICK VETERANS MDL SCH,DRUM ROCK EARLY CHLDHD CTR,GREENWOOD ELEM SCH,GORTON JR HIGH SCH,HOLLIMAN ELEM SCH,ALDRICH JR HIGH SCH,HAROLD F SCOTT ELEM SCH,PARK ELEM SCH,WICKES ELEM SCH,WINMAN JR HIGH SCH,WYMAN ELEM SCH,COTTRELL F HOXSIE ELEM SCH,LIPPITT ELEM SCH",01tDG000005vvRUYAY,"ASPEN IMS - SAAS - DISTRICT","District Member",NULL,NULL,0.00000,0.00000,0.00000
11245057,95550P,6,1,20012.50000,3830447,7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,8005,HOSTED,0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvPIYAY,"FOLLETT HOSTING",Single-Hosted,NULL,0.20833,20012.50000,1667.70837,1667.70837
11245057,95622P,7,1,2500.00000,3830447,7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,,ASPEN,0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvNnYAI,"ASPEN HOSTED TRAINING ENVIRONMENT",Single-Hosted,NULL,NULL,2500.00000,208.33333,208.33333
11245057,95722P,8,1,1500.00000,3830447,7/1/2023,6/30/2024,USD,W1052181,3830447,3830447,3830447,12,X2,N,ASPEN,0.00000,,ASPEN,0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",0015000001GRciOAAT,"WARWICK PUB SCHS",01tDG000005vvSAYAY,"ASPEN ONLINE WEBINAR SUSCRIPTION PER CONNECTION",Single-Hosted,NULL,NULL,1500.00000,125.00000,125.00000
11245211,95201P,1,1,58542.10938,2032390,7/1/2023,6/30/2024,USD,W1052335,2032390,2032390,2032390,12,X2,Y,ASPEN,0.00000,5167,"STUDENT INFORMATION",0015000001GRZpAAAX,"FITCHBURG SCH DIST",0015000001GRZpAAAX,"FITCHBURG SCH DIST",0015000001GRZpAAAX,"FITCHBURG SCH DIST",0015000001GRZpAAAX,"FITCHBURG SCH DIST",01tDG000005vvNXYAY,"ASPEN STUDENT INFORMATION - SAAS",Single-Hosted,NULL,0.94417,58542.10938,4878.50928,4878.50928
11245211,95203P,2,1,0.00000,2032390,7/1/2023,6/30/2024,USD,W1052335,2032390,2032390,2032390,12,X2,Y,ASPEN,0.00000,1,"SPECIAL EDUCATION",0015000001GRZpAAAX,"FITCHBURG SCH DIST",0015000001GRZpAAAX,"FITCHBURG SCH DIST",0015000001GRZpAAAX,"FITCHBURG SCH DIST",0015000001GRZpAAAX,"FITCHBURG SCH DIST",01tDG000005vvQuYAI,"ASPEN SPECIAL EDUCATION - SAAS",Single-Hosted,NULL,0.00000,0.00000,0.00000,0.00000
