CONTRACT_ID,SUPPORT_ITEMNO,Row_identifier,Count_School,sum_Price_Unit,ACCOUNT_NUMBER_CONCAT,START_DATE,END_DATE,CURRENCY_CODE,CONTRACT_NUMBER,SOLDTO_NUM,BILLTO_NUM,SHIPTO_NUM,max_CONTRACT_MONTHS,CONTRACT_ORG,AUTORENEW,RENEWAL_OPP_TYPE,UPLIFT_PCT,Student_count,PRODFAMILY,sold_to_num_acct_id,sold_to_num_acct_name,BILLTO_NUM_acct_id,BILLTO_NUM_acct_name,SHIPTO_NUM_acct_id,SHIPTO_NUM_acct_name,ACCOUNT_NUMBER_acct_id,ACCOUNT_NUMBER_acct_name,sf_cross_Pdct_id,sf_cross_Pdct_name,Deal_type,Multiple_Group,PER_STUDENT_PRICE,NEW_YRLY_PRICE,NEW_MTHLY_PRICE,SELLING_PRICE
11131308,67008P,1,1,0.00000,3818513,1/1/2023,12/31/2023,USD,W1040550,3818513,3818513,3818513,12,X2,N,ASPEN,0.00000,,"DESTINY DISTRICT",0015000001GRchjAAD,"PORTSMOUTH SCH DIST",0015000001GRchjAAD,"PORTSMOUTH SCH DIST",0015000001GRchjAAD,"PORTSMOUTH SCH DIST",0015000001GRchjAAD,"PORTSMOUTH SCH DIST",01tDG000005vvQDYAY,"WEBPATH EXPRESS DISTRICT LICENSE","District Product",NULL,NULL,0.00000,0.00000,0.00000
11131312,67008P,1,1,0.00000,3806885,1/1/2023,12/31/2023,USD,W1040554,3806885,3806885,3806885,12,X2,N,ASPEN,0.00000,,"DESTINY DISTRICT",0015000001GRcgdAAD,"EAST GREENWICH SCH DEPT",0015000001GRcgdAAD,"EAST GREENWICH SCH DEPT",0015000001GRcgdAAD,"EAST GREENWICH SCH DEPT",0015000001GRcgdAAD,"EAST GREENWICH SCH DEPT",01tDG000005vvQDYAY,"WEBPATH EXPRESS DISTRICT LICENSE","District Product",NULL,NULL,0.00000,0.00000,0.00000
11246898,95532P,1,1,1658.80005,908288,7/1/2023,6/30/2024,USD,W1053939,908288,908288,908288,12,X2,N,ASPEN,0.00000,1160,SCHEDULER,0015000001GSNoGAAX,"PINECREST GLADES ACAD",0015000001GSNoGAAX,"PINECREST GLADES ACAD",0015000001GSNoGAAX,"PINECREST GLADES ACAD",0015000001GSNoGAAX,"PINECREST GLADES ACAD",NULL,NULL,"No Group",NULL,0.11917,1658.80005,138.23334,138.23334
11246900,95532P,1,1,403.26001,908186,7/1/2023,6/30/2024,USD,W1053941,908186,908186,908186,12,X2,N,ASPEN,0.00000,282,SCHEDULER,0015000001GSNUeAAP,"ACADEMIR CHARTER SCH MDL",0015000001GSNUeAAP,"ACADEMIR CHARTER SCH MDL",0015000001GSNUeAAP,"ACADEMIR CHARTER SCH MDL",0015000001GSNUeAAP,"ACADEMIR CHARTER SCH MDL",NULL,NULL,"No Group",NULL,0.11917,403.26001,33.60500,33.60500
11246901,95532P,1,1,487.63000,907171,7/1/2023,6/30/2024,USD,W1053942,907171,907171,907171,12,X2,N,ASPEN,0.00000,341,SCHEDULER,0015000001GSLQlAAP,"EVERGLADES PREP ACAD (5006)",0015000001GSLQlAAP,"EVERGLADES PREP ACAD (5006)",0015000001GSLQlAAP,"EVERGLADES PREP ACAD (5006)",0015000001GSLQlAAP,"EVERGLADES PREP ACAD (5006)",NULL,NULL,"No Group",NULL,0.11917,487.63000,40.63583,40.63583
11246902,95532P,1,1,320.32001,907168,7/1/2023,6/30/2024,USD,W1053943,907168,907168,907168,12,X2,N,ASPEN,0.00000,224,SCHEDULER,0015000001GSLQiAAP,"PALM GLADES PREP ACAD (3032)",0015000001GSLQiAAP,"PALM GLADES PREP ACAD (3032)",0015000001GSLQiAAP,"PALM GLADES PREP ACAD (3032)",0015000001GSLQiAAP,"PALM GLADES PREP ACAD (3032)",NULL,NULL,"No Group",NULL,0.11917,320.32001,26.69333,26.69333
11246903,95532P,1,1,380.38000,903843,7/1/2023,6/30/2024,USD,W1053944,903843,903843,903843,12,X2,N,ASPEN,0.00000,266,SCHEDULER,0015000001GRtrxAAD,"YOUTH CO-OP CHARTER SCH",0015000001GRtrxAAD,"YOUTH CO-OP CHARTER SCH",0015000001GRtrxAAD,"YOUTH CO-OP CHARTER SCH",0015000001GRtrxAAD,"YOUTH CO-OP CHARTER SCH",NULL,NULL,"No Group",NULL,0.11917,380.38000,31.69833,31.69833
11246904,95532P,1,1,496.20999,904728,7/1/2023,6/30/2024,USD,W1053945,904728,904728,904728,12,X2,N,ASPEN,0.00000,347,SCHEDULER,0015000001GRttZAAT,"AVENTURA CITY OF EXCELLENCE SCH",0015000001GRttZAAT,"AVENTURA CITY OF EXCELLENCE SCH",0015000001GRttZAAT,"AVENTURA CITY OF EXCELLENCE SCH",0015000001GRttZAAT,"AVENTURA CITY OF EXCELLENCE SCH",NULL,NULL,"No Group",NULL,0.11917,496.20999,41.35083,41.35083
11246905,95532P,1,1,783.64001,907170,7/1/2023,6/30/2024,USD,W1053946,907170,907170,907170,12,X2,N,ASPEN,0.00000,548,SCHEDULER,0015000001GSLQkAAP,"EVERGLADES PREP ACAD HIGH SCH (7060)",0015000001GSLQkAAP,"EVERGLADES PREP ACAD HIGH SCH (7060)",0015000001GSLQkAAP,"EVERGLADES PREP ACAD HIGH SCH (7060)",0015000001GSLQkAAP,"EVERGLADES PREP ACAD HIGH SCH (7060)",NULL,NULL,"No Group",NULL,0.11917,783.64001,65.30333,65.30333
11246906,95532P,1,1,423.28000,907169,7/1/2023,6/30/2024,USD,W1053947,907169,907169,907169,12,X2,N,ASPEN,0.00000,296,SCHEDULER,0015000001GSLQjAAP,"PALM GLADES PREP HIGH SCH (7032)",0015000001GSLQjAAP,"PALM GLADES PREP HIGH SCH (7032)",0015000001GSLQjAAP,"PALM GLADES PREP HIGH SCH (7032)",0015000001GSLQjAAP,"PALM GLADES PREP HIGH SCH (7032)",NULL,NULL,"No Group",NULL,0.11917,423.28000,35.27333,35.27333
