contract_number,contract_org,AUTORENEW,RENEWAL_PATH
W1041825,FSS,M,"Full Touch"
W1041825,FSS,N,"Auto Quote Send"
W1045161,FSS,M,"Full Touch"
W1045161,FSS,N,"Auto Quote Send"
W1045946,FSS,N,"Auto Quote Send"
W1045946,FSS,M,"Full Touch"
W1046836,FSS,M,"Full Touch"
W1046836,FSS,N,"Auto Quote Send"
W1048696,FSS,M,"Full Touch"
W1048696,FSS,Y,"No Touch"
W1048796,FSS,M,"Full Touch"
W1048796,FSS,N,"Auto Quote Send"
W1048982,FSS,M,"Full Touch"
W1048982,FSS,Y,"No Touch"
W1048987,FSS,M,"Full Touch"
W1048987,FSS,N,"Auto Quote Send"
W1049040,FSS,M,"Full Touch"
W1049040,FSS,N,"Auto Quote Send"
W1049535,FSS,M,"Full Touch"
W1049535,FSS,N,"Auto Quote Send"
W1049538,FSS,M,"Full Touch"
W1049538,FSS,N,"Auto Quote Send"
W1049544,FSS,M,"Full Touch"
W1049544,FSS,N,"Auto Quote Send"
W1049592,FSS,N,"Auto Quote Send"
W1049592,FSS,M,"Full Touch"
W1049645,FSS,N,"Auto Quote Send"
W1049645,FSS,M,"Full Touch"
W1049724,FSS,N,"Auto Quote Send"
W1049724,FSS,M,"Full Touch"
W1049910,FSS,M,"Full Touch"
W1049910,FSS,N,"Auto Quote Send"
W1049980,FSS,M,"Full Touch"
W1049980,FSS,N,"Auto Quote Send"
W1050140,FSS,M,"Full Touch"
W1050140,FSS,N,"Auto Quote Send"
W1050692,FSS,M,"Full Touch"
W1050692,FSS,Y,"No Touch"
W1050834,FSS,N,"Auto Quote Send"
W1050834,FSS,M,"Full Touch"
W1050852,FSS,M,"Full Touch"
W1050852,FSS,Y,"No Touch"
W1050939,FSS,M,"Full Touch"
W1050939,FSS,N,"Auto Quote Send"
W1051008,FSS,M,"Full Touch"
W1051008,FSS,N,"Auto Quote Send"
W1051018,FSS,M,"Full Touch"
W1051018,FSS,N,"Auto Quote Send"
W1051024,FSS,M,"Full Touch"
W1051024,FSS,N,"Auto Quote Send"
W1051078,FSS,M,"Full Touch"
W1051078,FSS,N,"Auto Quote Send"
W1051082,FSS,M,"Full Touch"
W1051082,FSS,N,"Auto Quote Send"
W1051276,FSS,M,"Full Touch"
W1051276,FSS,N,"Auto Quote Send"
W1051468,FSS,M,"Full Touch"
W1051468,FSS,N,"Auto Quote Send"
W1051523,FSS,M,"Full Touch"
W1051523,FSS,N,"Auto Quote Send"
W1051567,FSS,M,"Full Touch"
W1051567,FSS,N,"Auto Quote Send"
W1051584,FSS,M,"Full Touch"
W1051584,FSS,N,"Auto Quote Send"
W1051613,FSS,M,"Full Touch"
W1051613,FSS,N,"Auto Quote Send"
W1051631,FSS,M,"Full Touch"
W1051631,FSS,N,"Auto Quote Send"
W1051715,X2,M,"Full Touch"
W1051715,X2,N,"Full Touch"
W1051748,X2,M,"Full Touch"
W1051748,X2,N,"Full Touch"
W1051808,X2,M,"Full Touch"
W1051808,X2,Y,"Full Touch"
W1051872,FSS,M,"Full Touch"
W1051872,FSS,N,"Auto Quote Send"
W1051945,FSS,M,"Full Touch"
W1051945,FSS,N,"Auto Quote Send"
W1051969,FSS,M,"Full Touch"
W1051969,FSS,N,"Auto Quote Send"
W1052005,FSS,M,"Full Touch"
W1052005,FSS,N,"Auto Quote Send"
W1052042,FSS,M,"Full Touch"
W1052042,FSS,N,"Auto Quote Send"
W1052058,FSS,M,"Full Touch"
W1052058,FSS,N,"Auto Quote Send"
W1052116,X2,M,"Full Touch"
W1052116,X2,Y,"Full Touch"
W1052123,X2,M,"Full Touch"
W1052123,X2,N,"Full Touch"
W1052145,FSS,M,"Full Touch"
W1052145,FSS,N,"Auto Quote Send"
W1052166,FSS,M,"Full Touch"
W1052166,FSS,N,"Auto Quote Send"
W1052177,FSS,N,"Auto Quote Send"
W1052177,FSS,M,"Full Touch"
W1052222,X2,Y,"Full Touch"
W1052222,X2,M,"Full Touch"
W1052249,FSS,M,"Full Touch"
W1052249,FSS,N,"Auto Quote Send"
W1052257,FSS,N,"Auto Quote Send"
W1052257,FSS,M,"Full Touch"
W1052360,FSS,M,"Full Touch"
W1052360,FSS,N,"Auto Quote Send"
W1052382,FSS,M,"Full Touch"
W1052382,FSS,N,"Auto Quote Send"
W1052437,FSS,N,"Auto Quote Send"
W1052437,FSS,M,"Full Touch"
W1052742,FSS,M,"Full Touch"
W1052742,FSS,Y,"No Touch"
W1052826,FSS,M,"Full Touch"
W1052826,FSS,Y,"No Touch"
W1053619,FSS,M,"Full Touch"
W1053619,FSS,N,"Auto Quote Send"
W1053661,FSS,M,"Full Touch"
W1053661,FSS,N,"Auto Quote Send"
W1053664,FSS,M,"Full Touch"
W1053664,FSS,N,"Auto Quote Send"
W1053725,FSS,M,"Full Touch"
W1053725,FSS,N,"Auto Quote Send"
W1053742,FSS,M,"Full Touch"
W1053742,FSS,N,"Auto Quote Send"
W1053778,FSS,M,"Full Touch"
W1053778,FSS,N,"Auto Quote Send"
W1053832,FSS,M,"Full Touch"
W1053832,FSS,N,"Auto Quote Send"
W1053858,FSS,N,"Auto Quote Send"
W1053858,FSS,M,"Full Touch"
W1053919,FSS,M,"Full Touch"
W1053919,FSS,N,"Auto Quote Send"
W1053976,FSS,M,"Full Touch"
W1053976,FSS,N,"Auto Quote Send"
W1054059,FSS,M,"Full Touch"
W1054059,FSS,N,"Auto Quote Send"
W1054123,FSS,M,"Full Touch"
W1054123,FSS,N,"Auto Quote Send"
W1054255,FSS,M,"Full Touch"
W1054255,FSS,N,"Auto Quote Send"
W1054257,FSS,M,"Full Touch"
W1054257,FSS,N,"Auto Quote Send"
W1054370,FSS,M,"Full Touch"
W1054370,FSS,Y,"No Touch"
W1054383,FSS,M,"Full Touch"
W1054383,FSS,N,"Auto Quote Send"
W1054479,FSS,M,"Full Touch"
W1054479,FSS,N,"Auto Quote Send"
W1054509,FSS,M,"Full Touch"
W1054509,FSS,N,"Auto Quote Send"
W1054515,FSS,M,"Full Touch"
W1054515,FSS,N,"Auto Quote Send"
W1054526,FSS,M,"Full Touch"
W1054526,FSS,N,"Auto Quote Send"
W1054543,FSS,N,"Auto Quote Send"
W1054543,FSS,M,"Full Touch"
W1054550,FSS,M,"Full Touch"
W1054550,FSS,N,"Auto Quote Send"
W1054611,FSS,N,"Auto Quote Send"
W1054611,FSS,M,"Full Touch"
W1054634,FSS,N,"Auto Quote Send"
W1054634,FSS,M,"Full Touch"
W1054638,FSS,M,"Full Touch"
W1054638,FSS,N,"Auto Quote Send"
W1054663,FSS,M,"Full Touch"
W1054663,FSS,N,"Auto Quote Send"
W1054710,FSS,M,"Full Touch"
W1054710,FSS,N,"Auto Quote Send"
W1054785,FSS,M,"Full Touch"
W1054785,FSS,N,"Auto Quote Send"
W1054790,FSS,M,"Full Touch"
W1054790,FSS,N,"Auto Quote Send"
W1054849,FSS,M,"Full Touch"
W1054849,FSS,N,"Auto Quote Send"
