"PARENT_ACCOUNT_NUMBER","ACCOUNT_NUMBER","INSTANCE_STATUS","SUPPORT_STATUS","ITEMNO","ITEM_DESCRIPTION","SUPPORT_ITEMNO","PRODLINE","PRODFAMILY","PLATFORM","CONTRACT_NUMBER","CONTRACT_ID","CONTRACT_ORG","CONTRACT_INV_ORGID","CONTRACT_INV_ORG","CUST_PO_NUMBER","PRICE_UNIT","CURRENCY_CODE","START_DATE","END_DATE","SVC_LINE_ID","INSTANCE_ID","QUOTE","SELLING_PRICE","CURRENT_EXPRN_DATE","NEW_EXPRN_DATE","STUDENT_COUNT","CONTRACT_MONTHS","NEW_YRLY_PRICE","NEW_MTHLY_PRICE","UPLIFT_PCT","RENEWAL_OPP_TYPE","SOLD_TO_ORG_ID","INVOICE_TO_ORG_ID","SHIP_TO_ORG_ID","ORDER_NUMBER","DESCRIPTION","OWNER_CUSTOMER","PARENT_CUSTOMER","SOLDTO_NUM","SOLDTO_CUSTOMER","BILLTO_NUM","BILLTO_CUSTOMER","SHIPTO_NUM","SHIPTO_CUSTOMER","RN","AUTORENEW","PER_STUDENT_PRICE","CON_LINE_LAST_UPDATED","SOLDTO_INST_TYPE"
"3119315","3111591","Latest","ACTIVE","48206L","DISTRICT MEMBER LM - HOSTED SERVICE","48206P","LIBRARY MANAGER","HOSTED DISTRICT MEMBER","FSS HOSTED","W905789",9529265,"FSS",85,"FSS","Per Destiny Renewal",0,"USD","12-01-2019","05-31-2025",77415951,"39346295","7378326",0,"05-31-2025","05-31-2026","",66,0,0,0,"DOMESTIC",62077,176855,176856,2374710,"DISTRICT MEMBER LM - HOSTED SERVICE RENEWAL","TEST LICENSE 2","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES",1,"N",,"12-01-2019","CONSORTIUM"
"3119315","3111590","Latest","ACTIVE","48206L","DISTRICT MEMBER LM - HOSTED SERVICE","48206P","LIBRARY MANAGER","HOSTED DISTRICT MEMBER","FSS HOSTED","W905789",9529265,"FSS",85,"FSS","Per Destiny Renewal",0,"USD","12-01-2019","05-31-2025",77415947,"39346296","7378326",0,"05-31-2025","05-31-2026","",66,0,0,0,"DOMESTIC",62077,176855,176856,2374710,"DISTRICT MEMBER LM - HOSTED SERVICE RENEWAL","TEST LICENSE 1","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES",1,"N",,"12-01-2019","CONSORTIUM"
"3119315","3111591","Latest","ACTIVE","48223L","ALLIANCE PLUS ONLINE SERVICE - HOSTED DISTRICT MEMBER","48223P","ALLIANCE PLUS","HOSTED DISTRICT MEMBER","ECS","W905789",9529265,"FSS",85,"FSS","Per Destiny Renewal",0,"USD","12-01-2019","05-31-2025",77415949,"39346297","7378326",0,"05-31-2025","05-31-2026","",66,0,0,0,"DOMESTIC",62077,176855,176856,2374710,"ALLIANCE PLUS ONLINE SERVICE - HOSTED DISTRICT MEMBER SUPPORT RENEWAL","TEST LICENSE 2","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES",1,"N",,"12-01-2019","CONSORTIUM"
"3119315","3111590","Latest","ACTIVE","48223L","ALLIANCE PLUS ONLINE SERVICE - HOSTED DISTRICT MEMBER","48223P","ALLIANCE PLUS","HOSTED DISTRICT MEMBER","ECS","W905789",9529265,"FSS",85,"FSS","Per Destiny Renewal",0,"USD","12-01-2019","05-31-2025",77415948,"39346298","7378326",0,"05-31-2025","05-31-2026","",66,0,0,0,"DOMESTIC",62077,176855,176856,2374710,"ALLIANCE PLUS ONLINE SERVICE - HOSTED DISTRICT MEMBER SUPPORT RENEWAL","TEST LICENSE 1","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES",1,"N",,"12-01-2019","CONSORTIUM"
"3119315","3111591","Latest","ACTIVE","67058A","TITLEPEEK ONLINE SERVICE - DESTINY DISTRICT MEMBER","67058P","TITLEPEEK","DESTINY DISTRICT MEMBER","ECS","W905789",9529265,"FSS",85,"FSS","Per Destiny Renewal",0,"USD","12-01-2019","05-31-2025",77415950,"39346293","7378326",0,"05-31-2025","05-31-2026","",66,0,0,0,"DOMESTIC",62077,176855,176856,2374710,"TITLEPEEK ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TEST LICENSE 2","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES",1,"N",,"12-01-2019","CONSORTIUM"
"3119315","3111590","Latest","ACTIVE","67058A","TITLEPEEK ONLINE SERVICE - DESTINY DISTRICT MEMBER","67058P","TITLEPEEK","DESTINY DISTRICT MEMBER","ECS","W905789",9529265,"FSS",85,"FSS","Per Destiny Renewal",0,"USD","12-01-2019","05-31-2025",77415946,"39346294","7378326",0,"05-31-2025","05-31-2026","",66,0,0,0,"DOMESTIC",62077,176855,176856,2374710,"TITLEPEEK ONLINE SERVICE RENEWAL - DESTINY DISTRICT MEMBER","TEST LICENSE 1","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES","3119315","QUESTAR III BOCES",1,"N",,"12-01-2019","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67001A","RPS ONLINE SERVICE FOR AR / RC - DESTINY DISTRICT","67001P","READING PROGRAMS - AR","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289958,"40781319","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"RPS ONLINE FOR AR / RC RENEWAL - DESTINY DISTRICT","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67002A","ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT","67002P","ALLIANCE PLUS","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289954,"40781320","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67003A","ALLIANCE A/V ONLINE SERVICE - DESTINY DISTRICT","67003P","ALLIANCE AV","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289956,"40781321","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"ALLIANCE A/V ONLINE SERVICE RENEWAL - DESTINY DISTRICT","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67006A","STANDARDS ONLINE SERVICE - DESTINY DISTRICT","67006P","STATE STANDARDS","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289962,"40781322","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"STANDARDS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67007A","TITLEPEEK ONLINE SERVICE - DESTINY DISTRICT","67007P","TITLEPEEK","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289959,"40781323","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"TITLEPEEK ONLINE SERVICE RENEWAL - DESTINY DISTRICT","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
"4214870","4214870","Latest","ACTIVE","67008A","WEBPATH EXPRESS DISTRICT LICENSE","67008P","WEBPATH EXPRESS","DESTINY DISTRICT","ECS","W962429",10437284,"FSS",85,"FSS","Per Destiny Contract",0,"USD","09-01-2020","10-31-2027",80289957,"40781324","7546035.01",0,"10-31-2027","10-31-2028","",86,0,0,0,"DOMESTIC",73572,212210,212211,2416986,"WEBPATH EXPRESS DISTRICT LICENSE (RENEWAL)","REGION 11 ED TEST DIST 2","REGION 11 ED TEST DIST 2","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)","4234723","ESC REGION 11 (TETPC)",1,"M",,"11-10-2020","CONSORTIUM"
