PARENT_ACCOUNT_NUMBER,ACCOUNT_NUMBER,INSTANCE_STATUS,SUPPORT_STATUS,ITEMNO,ITEM_DESCRIPTION,SUPPORT_ITEMNO,PRODLINE,PRODFAMILY,PLATFORM,CONTRACT_NUMBER,CONTRACT_ID,CONTRACT_ORG,CONTRACT_INV_ORGID,CONTRACT_INV_ORG,CUST_PO_NUMBER,PRICE_UNIT,CURRENCY_CODE,START_DATE,END_DATE,SVC_LINE_ID,INSTANCE_ID,QUOTE,SELLING_PRICE,CURRENT_EXPRN_DATE,NEW_EXPRN_DATE,STUDENT_COUNT,CONTRACT_MONTHS,NEW_YRLY_PRICE,NEW_MTHLY_PRICE,UPLIFT_PCT,RENEWAL_OPP_TYPE,SOLD_TO_ORG_ID,INVOICE_TO_ORG_ID,SHIP_TO_ORG_ID,ORDER_NUMBER,DESCRIPTION,OWNER_CUSTOMER,PARENT_CUSTOMER,SOLDTO_NUM,SOLDTO_CUSTOMER,BILLTO_NUM,BILLTO_CUSTOMER,SHIPTO_NUM,SHIPTO_CUSTOMER,RN,AUTORENEW,PER_STUDENT_PRICE,CON_LINE_LAST_UPDATED
3602049,3602049,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674294,27446678,7696745.01,0.00000,07-31-2024,07-31-2025,1,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","TEST DIST-NW REG","TEST DIST-NW REG",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,0.00000,08-11-2023
3601531,3601531,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82673903,7574257,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","HORIZON CHRN SCH","HORIZON CHRN SCH",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642388,3642388,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674976,21313642,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SHERWOOD SCH DIST 88J","SHERWOOD SCH DIST 88J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3646375,3646375,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82675064,43654041,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","TILLAMOOK SCH DIST 9","TILLAMOOK SCH DIST 9",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3609128,3609128,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674793,36433855,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","DALLAS SCH DIST 2","DALLAS SCH DIST 2",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642370,3642370,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674963,36445855,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SHERIDAN SCH DIST #48J","SHERIDAN SCH DIST #48J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3639240,3601500,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82673870,36413901,7696745.01,0.00000,07-31-2024,07-31-2025,1,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","OREGON SCH FOR THE DEAF","OREGON DEPT OF ED",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,0.00000,08-11-2023
3634052,3634052,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674911,31594735,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","PORTLAND SCH DIST 1J","PORTLAND SCH DIST 1J",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3603959,3603959,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674743,31589725,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","BEAVERTON SCH DIST","BEAVERTON SCH DIST",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
3642268,3642268,Latest,ACTIVE,67002A,"ALLIANCE PLUS ONLINE SERVICE - DESTINY DISTRICT",67002P,"ALLIANCE PLUS","DESTINY DISTRICT",ECS,W1057779,11250738,FSS,85,FSS,23240260,0.00000,USD,08-01-2023,07-31-2024,82674955,26202683,7696745.01,0.00000,07-31-2024,07-31-2025,,12,0.00000,0.00000,0.00000,DOMESTIC,50070,142649,142650,2473550,"ALLIANCE PLUS ONLINE SERVICE RENEWAL - DESTINY DISTRICT","SEASIDE PUB SCHS","SEASIDE PUB SCHS",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",3601147,"NORTHWEST REG PROGRAM",1,M,NULL,08-11-2023
