PARENT_ACCOUNT_NUMBER,ACCOUNT_NUMBER,INSTANCE_STATUS,SUPPORT_STATUS,ITEMNO,ITEM_DESCRIPTION,SUPPORT_ITEMNO,PRODLINE,PRODFAMILY,PLATFORM,CONTRACT_NUMBER,CONTRACT_ID,CONTRACT_ORGID,CONTRACT_ORG,CONTRACT_INV_ORGID,CONTRACT_INV_ORG,CUST_PO_NUMBER,PRICE_UNIT,CURRENCY_CODE,START_DATE,END_DATE,SVC_LINE_ID,INSTANCE_ID,QUOTE,SELLING_PRICE,CURRENT_EXPRN_DATE,NEW_EXPRN_DATE,STUDENT_COUNT,CONTRACT_MONTHS,NEW_PRICE_START_DATE,NEW_YRLY_PRICE,NEW_MTHLY_PRICE,UPLIFT_PCT,RENEWAL_OPP_TYPE,SOLD_TO_ORG_ID,INVOICE_TO_ORG_ID,SHIP_TO_ORG_ID,ORDER_NUMBER,ITEM_ID,DESCRIPTION,OWNER_CUSTOMER,PARENT_CUSTOMER,SOLDTO_NUM,SOLDTO_CUSTOMER,BILLTO_NUM,BILLTO_CUSTOMER,SHIPTO_NUM,SHIPTO_CUSTOMER,RN,AUTO_RENEWAL,PER_STUDENT_PRICE,CON_LINE_LAST_UPDATED
3954180,3900001,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715321,7387365,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,CONGAREE/WOOD EARLY CHLDHD CTR,LEXINGTON CO SCH DIST 2,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3952360,3900003,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715322,7510778,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,FRANCES MACK INTERM,LEXINGTON SCH DIST 4,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3904620,3900006,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715323,8385014,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,MARLBORO CO HIGH SCH,MARLBORO CO SCH DIST,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3937125,3900009,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715324,7504901,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,PELION MDL SCH,LEXINGTON CO SCH DIST 1,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3903132,3900012,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715325,7626005,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,CHAPIN MDL SCH,LEXINGTON CO DIST 5,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3925698,3900013,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715326,7362146,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,ORCHARD PARK ELEM SCH-FORT MILL,FT MILL SCH DIST-YORK 4,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900050,3900018,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715327,7362237,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,BURKE HIGH SCH,CHARLESTON CO S D,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3951500,3900020,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715328,7383379,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,WINDSOR HILL ELEM SCH,DORCHESTER SCH DIST 2,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3952360,3900023,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715329,7510777,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,SANDHILLS MDL SCH,LEXINGTON SCH DIST 4,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
3900050,3900024,Latest,ACTIVE,46703A,DISTRICT MEMBER TEXTBOOK MANAGER LICENSE,73144P,TEXTBOOK MANAGER,DESTINY DISTRICT MEMBER,ONPREM,W1059445,11252404,83,FSS,85,FSS,SC RENEWAL 23/24,215.9,USD,9/1/2023,8/31/2024,82715330,7362328,7702019,17.99167,8/31/2024,8/31/2025,,12,,215.9,17.99167,0,DOMESTIC,56637,161278,161280,2474995,6227,DESTINY DISTRICT MEMBER TEXTBOOK LICENSE RENEWAL,CHARLESTON PROGRESSIVE SCH,CHARLESTON CO S D,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,3900028,SC OFFICE INSTRUCT MATERIALS,1,M,,9/1/2023
